24,0,2115,5016,0
73,1,6811,9535,0
10,0,990,177,0
164,4,49024,330760,1
135,0,13957,1068781,0
86,0,8262,12809,0
111,2,17845,11466,0
2,0,0,0,0
87,0,7490,12469,0
20,6,2203,3068728,0
18,0,1501,1547618,0
86,0,7410,13135,0
12,0,553,191,0
113,1,86492,50770,0
80,0,8173,11801,0
82,0,8431,10943,0
16,0,1413,1171,0
82,0,10384,11427,0
80,0,7428,12756,0
5,0,35,373,0
16,0,1804,1906,0
3,0,0,40,0
149,1,54906,899835,0
17,6,2249,3059496,0
56,0,77983,509748,0
15,0,1397,1522,0
16,0,1612,1157,0
114,0,36063,23368,1
189,0,52528,1240752,0
83,0,7568,9247,0
78,0,8045,10738,0
33,0,1996,106340,0
173,1,103861,592021,0
83,0,7016,10821,0
99,0,37918,24645,0
2,0,0,0,0
73,0,6540,14792,0
125,1,26939,410603,1
2,0,0,0,0
25,0,2552,4455,0
79,0,8319,12407,0
79,0,7634,11891,0
11,2,13,228417,0
55,0,3733,17918,0
79,0,9692,13643,0
82,0,13001,9963,0
81,0,11550,12437,0
5,0,29,272,0
83,0,6906,9767,0
25,0,2082,4722,0
81,0,8412,12369,0
205,2,46399,1010515,0
205,4,29988,867452,0
230,7,35431,289418,1
81,0,7630,10904,0
12,0,872,365,0
134,0,33229,466607,0
81,0,9982,9234,0
193,2,56291,66723,0
71,0,18408,749491,0
153,0,13822,40814,0
74,1,8940,9085,0
76,0,8060,9890,0
11,0,1026,445,0
3,0,29,18,0
105,0,33023,20552,0
83,0,7008,10836,0
78,0,7707,10846,0
9,0,137,2267,0
27,0,1571,415805,0
110,0,20300,16552,0
76,0,7913,11765,0
20,6,2509,3069637,0
204,0,41132,128585,0
247,0,49622,619328,0
226,3,40322,188731,0
3,0,0,55,0
20,0,1395,722519,0
82,0,6580,10598,0
27,0,1874,659971,0
30,0,2059,190248,0
118,2,38143,22592,0
28,0,3618,560747,0
159,1,52411,23394,0
86,0,6694,9832,0
81,0,6641,13388,0
113,1,32679,48291,0
85,0,7504,10993,0
34,4,2648,3770,0
3,0,45,26,0
79,0,8625,10711,0
269,0,53133,385647,0
12,0,319,111,0
71,0,8745,34534,0
162,0,52571,248351,0
124,0,37229,277739,1
74,0,8568,9751,0
20,6,1937,3069464,0
187,1,118689,948716,0
242,5,38369,479637,0
80,0,7300,12572,0
21,0,1611,2259706,0
75,0,6424,16703,0
