220,0,44481,717714,0
16,0,1761,1921,0
3,0,29,17,0
87,0,7142,11971,0
82,0,11139,13437,0
5,0,47,408,0
139,0,13394,540659,0
115,4,30806,836876,0
3,0,53,30,0
169,2,100469,318833,0
2,0,0,0,0
216,5,24832,261429,1
133,0,11552,462392,0
20,6,2261,3069210,0
19,6,2231,3068885,0
158,0,62687,173235,0
125,0,22330,235177,0
95,4,26885,18799,0
220,0,44481,717714,0
16,0,1761,1921,0
3,0,29,17,0
87,0,7142,11971,0
82,0,11139,13437,0
5,0,47,408,0
139,0,13394,540659,0
115,4,30806,836876,0
3,0,53,30,0
169,2,100469,318833,0
2,0,0,0,0
216,5,24832,261429,0
133,0,11552,462392,0
20,6,2261,3069210,0
158,4,36671,665264,0
31,0,2281,2726,0
19,0,1499,2022,0
31,0,3259,408744,0
125,0,31654,296767,0
16,0,1627,1602,0
207,5,60972,216022,0
16,0,1747,1721,0
19,6,2231,3068885,0
158,0,62687,173235,0
125,0,22330,235177,0
95,4,26885,18799,0
